sample_id,event_id,date,latitude,longitude,elevation_m,slope_deg,rain_prev_24h_mm,rain_prev_72h_mm,rain_prev_7d_mm,label,sample_type,terrain_source,terrain_resolution_m,rainfall_source,rainfall_native_resolution_m,crs
GSI-6CDC6C820018,GSI-6CDC6C820018,2024-05-28,23.71433988124626,92.7114615634264,977.66943,45.265297,151.9317626953125,241.6720733642578,258.9245319366455,1,recorded_landslide,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
GSI-3893C9C47E0B,GSI-3893C9C47E0B,2024-05-28,23.70679403285966,92.71442600386399,1022.10767,40.527004,151.9317626953125,241.6720733642578,258.9245319366455,1,recorded_landslide,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
GSI-F16EDE85F146,GSI-F16EDE85F146,2024-05-28,23.46802183034069,92.71631246596064,1127.4921,28.792852,126.9948959350586,250.02560424804688,283.6670684814453,1,recorded_landslide,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
GSI-8CA368AE4FCE,GSI-8CA368AE4FCE,2024-05-28,23.54159385211008,92.70202925294313,872.74695,29.669523,134.55624389648438,239.2357635498047,270.5774669647217,1,recorded_landslide,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
GSI-45467D8A0A00,GSI-45467D8A0A00,2024-05-28,23.529466595774466,92.7295177006372,986.65106,23.256268,134.55624389648438,239.2357635498047,270.5774669647217,1,recorded_landslide,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
GSI-B0B086D2F21C,GSI-B0B086D2F21C,2024-05-28,23.738863888502724,92.69636986665319,1033.5159,24.56905,169.60687255859375,267.0843086242676,285.4428825378418,1,recorded_landslide,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
GSI-DF59AE38E0BB,GSI-DF59AE38E0BB,2024-05-28,23.740750350599377,92.69340542621559,918.5583,31.945171,169.60687255859375,267.0843086242676,285.4428825378418,1,recorded_landslide,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
GSI-50DB02C46C23,GSI-50DB02C46C23,2024-05-28,23.738594393917488,92.6942139099713,991.9926,39.950672,169.60687255859375,267.0843086242676,285.4428825378418,1,recorded_landslide,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
GSI-C363AD36D42F,GSI-C363AD36D42F,2024-05-28,23.744792769377913,92.69286643704513,963.6835,30.366638,169.60687255859375,267.0843086242676,285.4428825378418,1,recorded_landslide,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
GSI-69E284AA9B25,GSI-69E284AA9B25,2024-05-28,23.741289339769846,92.69448340455654,942.4092,32.97195,169.60687255859375,267.0843086242676,285.4428825378418,1,recorded_landslide,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
GSI-FAFDADCD5B41,GSI-FAFDADCD5B41,2024-05-28,23.737516415576547,92.69448340455654,978.6163,32.732292,169.60687255859375,267.0843086242676,285.4428825378418,1,recorded_landslide,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
GSI-673E0E40285F,GSI-673E0E40285F,2024-05-28,23.732935007627535,92.69933430709078,895.03955,39.69148,169.60687255859375,267.0843086242676,285.4428825378418,1,recorded_landslide,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
GSI-E26678D1122F,GSI-E26678D1122F,2024-05-28,23.74964367191216,92.69825632874984,619.3022,25.39768,169.60687255859375,267.0843086242676,285.4428825378418,1,recorded_landslide,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
GSI-B43A083BB04A,GSI-B43A083BB04A,2024-05-28,23.731048545530886,92.70229874752837,870.78674,23.057755,151.9317626953125,241.6720733642578,258.9245319366455,1,recorded_landslide,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
GSI-1CCF831003C3,GSI-1CCF831003C3,2024-05-28,23.731048545530886,92.70391571503978,870.07874,6.1937475,151.9317626953125,241.6720733642578,258.9245319366455,1,recorded_landslide,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
GSI-9184F0C3FFDF,GSI-9184F0C3FFDF,2024-05-28,23.73320450221277,92.70526318796597,939.668,13.067658,151.9317626953125,241.6720733642578,258.9245319366455,1,recorded_landslide,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
GSI-817F267FD426,GSI-817F267FD426,2024-05-28,23.73589944806513,92.69771733957937,998.9243,19.043037,169.60687255859375,267.0843086242676,285.4428825378418,1,recorded_landslide,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
GSI-4B8019CF5E8C,GSI-4B8019CF5E8C,2024-05-28,23.731318040116122,92.70822762840356,871.5911,26.222622,151.9317626953125,241.6720733642578,258.9245319366455,1,recorded_landslide,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
GSI-BD427A4EBD27,GSI-BD427A4EBD27,2024-05-28,23.72431118089999,92.70741914464786,995.7129,30.360292,151.9317626953125,241.6720733642578,258.9245319366455,1,recorded_landslide,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
GSI-E85886CA1F19,GSI-E85886CA1F19,2024-05-28,23.722694213388575,92.70661066089215,961.9148,36.482353,151.9317626953125,241.6720733642578,258.9245319366455,1,recorded_landslide,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
GSI-0E0D4DA68E76,GSI-0E0D4DA68E76,2024-05-28,23.71568735417244,92.70930560674451,870.8703,30.396166,151.9317626953125,241.6720733642578,258.9245319366455,1,recorded_landslide,Copernicus DEM GLO-30,30,CHIRPS Daily,5566,EPSG:4326
